trade_id,open_time,close_time,symbol,side,entry_price,exit_price,pnl,pnl_R,lot_or_size,commission,balance_before,balance_after,initial_risk_amount,initial_sl,initial_tp,setup_tag,session,exit_reason,mfe_R,mae_R,trade_index_in_day,day_of_week,notes
AVG_0001,2026-01-05 13:30:00,2026-01-05 14:03:00,GBPJPY,SELL,198.15584,198.60584,-100.0,-1.0,1.0,2.0,10000.0,9898.0,100.0,198.60584,197.25584,BREAKOUT,Overlap,SL,0.73,-1.26,1,Monday,average_mixed_sample
AVG_0002,2026-01-05 16:20:00,2026-01-05 17:14:00,NAS100,BUY,21452.89532,21511.39532,128.67,1.3,1.0,2.0,9898.0,10024.67,98.98,21407.89532,21542.89532,SMT_RECLAIM,NY,MANUAL,1.62,-0.42,2,Monday,average_mixed_sample
AVG_0003,2026-01-06 08:50:00,2026-01-06 10:17:00,DJI,BUY,38971.51329,38929.51329,-60.15,-0.6,1.0,2.0,10024.67,9962.52,100.25,38901.51329,39111.51329,SMT_RECLAIM,London,MANUAL,0.47,-0.96,1,Tuesday,average_mixed_sample
AVG_0004,2026-01-07 13:00:00,2026-01-07 13:54:00,GBPJPY,BUY,197.88623,197.61623,-59.78,-0.6,1.0,2.0,9962.52,9900.74,99.63,197.43623,198.78623,SMT_RECLAIM,Overlap,MANUAL,0.69,-0.99,1,Wednesday,average_mixed_sample
AVG_0005,2026-01-07 13:20:00,2026-01-07 13:45:00,DJI,SELL,38972.05184,39056.05184,-118.81,-1.2,1.0,2.0,9900.74,9779.93,99.01,39042.05184,38832.05184,SMT_RECLAIM,Overlap,SL,0.24,-1.44,2,Wednesday,average_mixed_sample
AVG_0006,2026-01-07 16:20:00,2026-01-07 16:56:00,NAS100,BUY,21488.02074,21546.52074,127.14,1.3,1.0,2.0,9779.93,9905.07,97.8,21443.02074,21578.02074,SMT_RECLAIM,NY,MANUAL,1.96,-0.83,3,Wednesday,average_mixed_sample
AVG_0007,2026-01-08 16:00:00,2026-01-08 17:11:00,DJI,SELL,39020.9499,38950.9499,99.05,1.0,1.0,2.0,9905.07,10002.12,99.05,39090.9499,38880.9499,FVG_ENTRY,NY,MANUAL,1.43,-0.39,1,Thursday,average_mixed_sample
AVG_0008,2026-01-09 13:50:00,2026-01-09 15:01:00,GBPJPY,SELL,198.04793,198.45293,-90.02,-0.9,1.0,2.0,10002.12,9910.1,100.02,198.49793,197.14793,SMT_RECLAIM,Overlap,SL,0.45,-1.24,3,Friday,average_mixed_sample
AVG_0009,2026-01-09 08:40:00,2026-01-09 09:18:00,DJI,SELL,38973.62688,38903.62688,99.1,1.0,1.0,2.0,9910.1,10007.2,99.1,39043.62688,38833.62688,FVG_ENTRY,London,MANUAL,1.22,-0.78,1,Friday,average_mixed_sample
AVG_0010,2026-01-09 13:10:00,2026-01-09 14:10:00,GBPJPY,SELL,197.30191,197.84191,-120.08,-1.2,1.0,2.0,10007.2,9885.12,100.07,197.75191,196.40191,BREAKOUT,Overlap,SL,0.55,-1.51,2,Friday,average_mixed_sample
AVG_0011,2026-01-12 13:20:00,2026-01-12 13:51:00,DJI,BUY,39011.50084,39081.50084,98.85,1.0,1.0,2.0,9885.12,9981.97,98.85,38941.50084,39151.50084,SMT_RECLAIM,Overlap,MANUAL,1.51,-0.81,1,Monday,average_mixed_sample
AVG_0012,2026-01-13 10:40:00,2026-01-13 11:57:00,XAUUSD,BUY,2349.207,2358.807,79.86,0.8,1.0,2.0,9981.97,10059.83,99.82,2337.207,2373.207,FVG_ENTRY,London,MANUAL,1.62,-0.55,2,Tuesday,average_mixed_sample
AVG_0013,2026-01-13 08:10:00,2026-01-13 09:17:00,XAUUSD,SELL,2350.83587,2361.63587,-90.54,-0.9,1.0,2.0,10059.83,9967.29,100.6,2362.83587,2326.83587,REVERSAL,London,SL,0.82,-1.48,1,Tuesday,average_mixed_sample
AVG_0014,2026-01-13 13:20:00,2026-01-13 13:59:00,NAS100,SELL,21483.3362,21528.3362,-99.67,-1.0,1.0,2.0,9967.29,9865.62,99.67,21528.3362,21393.3362,SMT_RECLAIM,Overlap,SL,0.31,-1.34,3,Tuesday,average_mixed_sample
AVG_0015,2026-01-14 10:40:00,2026-01-14 12:07:00,XAUUSD,BUY,2349.18691,2337.18691,-98.66,-1.0,1.0,2.0,9865.62,9764.96,98.66,2337.18691,2373.18691,SMT_RECLAIM,London,SL,0.61,-1.11,1,Wednesday,average_mixed_sample
AVG_0016,2026-01-14 19:20:00,2026-01-14 19:49:00,GBPJPY,BUY,197.59158,197.95158,78.12,0.8,1.0,2.0,9764.96,9841.08,97.65,197.14158,198.49158,FVG_ENTRY,NY,MANUAL,1.53,-0.76,2,Wednesday,average_mixed_sample
AVG_0017,2026-01-15 13:40:00,2026-01-15 14:56:00,NAS100,BUY,21454.36924,21535.36924,177.14,1.8,1.0,2.0,9841.08,10016.22,98.41,21409.36924,21544.36924,FVG_ENTRY,Overlap,TP,2.19,-0.65,1,Thursday,average_mixed_sample
AVG_0018,2026-01-15 16:30:00,2026-01-15 17:37:00,NAS100,BUY,21517.83068,21463.83068,-120.19,-1.2,1.0,2.0,10016.22,9894.03,100.16,21472.83068,21607.83068,SMT_RECLAIM,NY,SL,0.55,-1.84,2,Thursday,average_mixed_sample
AVG_0019,2026-01-16 10:10:00,2026-01-16 11:31:00,XAUUSD,BUY,2350.74823,2362.74823,98.94,1.0,1.0,2.0,9894.03,9990.97,98.94,2338.74823,2374.74823,REVERSAL,London,MANUAL,1.54,-0.87,2,Friday,average_mixed_sample
