trade_id,open_time,close_time,symbol,side,entry_price,exit_price,pnl,pnl_R,lot_or_size,commission,balance_before,balance_after,initial_risk_amount,initial_sl,initial_tp,setup_tag,session,exit_reason,mfe_R,mae_R,trade_index_in_day,day_of_week,notes
BAD_0001,2026-01-05 03:45:00,2026-01-05 05:35:00,GBPJPY,BUY,197.13507,196.73007,-99.0,-0.9,1.0,2.0,10000.0,9899.0,110.0,196.68507,198.03507,BREAKOUT,Asia,SL,0.23,-1.04,2,Monday,behavior_risk_sample
BAD_0002,2026-01-05 03:58:00,2026-01-05 04:43:00,DJI,SELL,38980.99069,39050.99069,-108.89,-1.0,1.0,2.0,9899.0,9788.11,108.89,39050.99069,38840.99069,REVERSAL,Asia,SL,0.36,-1.67,3,Monday,post_loss_fast_reentry
BAD_0003,2026-01-05 04:02:00,2026-01-05 05:08:00,DJI,BUY,38958.62128,38888.62128,-107.67,-1.0,1.0,2.0,9788.11,9678.44,107.67,38888.62128,39098.62128,REVERSAL,Asia,SL,0.56,-1.53,4,Monday,post_loss_fast_reentry
BAD_0004,2026-01-05 13:00:00,2026-01-05 13:56:00,NAS100,SELL,21487.18694,21541.18694,-178.86,-1.2,1.4,2.8,9678.44,9496.78,149.05,21532.18694,21397.18694,FVG_ENTRY,Overlap,SL,0.9,-1.81,5,Monday,behavior_risk_sample|drawdown_recovery_sizing
BAD_0005,2026-01-05 03:30:00,2026-01-05 05:03:00,DJI,SELL,39001.07819,39064.07819,-131.62,-0.9,1.4,2.8,9496.78,9362.36,146.25,39071.07819,38861.07819,FVG_ENTRY,Asia,SL,0.89,-1.12,1,Monday,behavior_risk_sample|drawdown_recovery_sizing
BAD_0006,2026-01-06 20:55:00,2026-01-06 21:35:00,GBPJPY,BUY,197.94353,198.12353,57.67,0.4,1.4,2.8,9362.36,9417.23,144.18,197.49353,198.84353,FVG_ENTRY,NY,MANUAL,0.81,-0.87,5,Tuesday,behavior_risk_sample|drawdown_recovery_sizing
BAD_0007,2026-01-06 08:55:00,2026-01-06 09:39:00,GBPJPY,SELL,198.14307,198.68307,-174.04,-1.2,1.4,2.8,9417.23,9240.39,145.03,198.59307,197.24307,REVERSAL,London,SL,0.74,-1.34,1,Tuesday,behavior_risk_sample|drawdown_recovery_sizing
BAD_0008,2026-01-06 08:59:00,2026-01-06 09:45:00,XAUUSD,SELL,2350.10618,2364.50618,-170.76,-1.2,1.4,2.8,9240.39,9066.83,142.3,2362.10618,2326.10618,FVG_ENTRY,London,SL,0.36,-1.69,2,Tuesday,post_loss_fast_reentry|drawdown_recovery_sizing
BAD_0009,2026-01-06 09:12:00,2026-01-06 09:47:00,DJI,BUY,39043.23975,38973.23975,-99.74,-1.0,1.0,2.0,9066.83,8965.09,99.74,38973.23975,39183.23975,SMT_RECLAIM,London,SL,0.63,-1.55,3,Tuesday,post_loss_fast_reentry|drawdown_recovery_sizing
BAD_0010,2026-01-06 09:22:00,2026-01-06 11:04:00,NAS100,BUY,21548.31157,21507.81157,-88.76,-0.9,1.0,2.0,8965.09,8874.33,98.62,21503.31157,21638.31157,BREAKOUT,London,SL,0.97,-1.68,4,Tuesday,post_loss_fast_reentry|drawdown_recovery_sizing
BAD_0011,2026-01-07 02:05:00,2026-01-07 03:44:00,XAUUSD,BUY,2349.26703,2338.46703,-122.99,-0.9,1.4,2.8,8874.33,8748.54,136.66,2337.26703,2373.26703,REVERSAL,Asia,SL,0.26,-1.4,1,Wednesday,behavior_risk_sample|drawdown_recovery_sizing
BAD_0012,2026-01-07 02:15:00,2026-01-07 03:47:00,XAUUSD,SELL,2349.54391,2363.94391,-161.68,-1.2,1.4,2.8,8748.54,8584.06,134.73,2361.54391,2325.54391,SMT_RECLAIM,Asia,SL,0.36,-1.85,2,Wednesday,behavior_risk_sample|drawdown_recovery_sizing
BAD_0013,2026-01-07 02:22:00,2026-01-07 03:36:00,DJI,SELL,38996.33466,39066.33466,-132.19,-1.0,1.4,2.8,8584.06,8449.07,132.19,39066.33466,38856.33466,FVG_ENTRY,Asia,SL,0.27,-1.67,3,Wednesday,post_loss_fast_reentry|drawdown_recovery_sizing
BAD_0014,2026-01-08 08:05:00,2026-01-08 09:45:00,XAUUSD,SELL,2349.0979,2339.4979,104.1,0.8,1.4,2.8,8449.07,8550.37,130.12,2361.0979,2325.0979,FVG_ENTRY,London,MANUAL,1.14,-0.96,3,Thursday,behavior_risk_sample|drawdown_recovery_sizing
BAD_0015,2026-01-08 16:45:00,2026-01-08 17:21:00,GBPJPY,BUY,197.12334,196.67334,-131.68,-1.0,1.4,2.8,8550.37,8415.89,131.68,196.67334,198.02334,FVG_ENTRY,NY,SL,0.38,-1.24,4,Thursday,behavior_risk_sample|drawdown_recovery_sizing
BAD_0016,2026-01-08 20:00:00,2026-01-08 21:57:00,GBPJPY,BUY,197.88686,198.06686,37.03,0.4,1.0,2.0,8415.89,8450.92,92.57,197.43686,198.78686,FVG_ENTRY,NY,MANUAL,0.92,-0.4,5,Thursday,behavior_risk_sample|drawdown_recovery_sizing
BAD_0017,2026-01-08 02:30:00,2026-01-08 03:53:00,NAS100,BUY,21518.32129,21450.82129,-195.21,-1.5,1.4,2.8,8450.92,8252.91,130.14,21473.32129,21608.32129,SMT_RECLAIM,Asia,SL,0.37,-1.73,1,Thursday,behavior_risk_sample|drawdown_recovery_sizing
BAD_0018,2026-01-08 02:45:00,2026-01-08 03:31:00,GBPJPY,BUY,197.55955,196.88455,-190.63,-1.5,1.4,2.8,8252.91,8059.48,127.09,197.10955,198.45955,BREAKOUT,Asia,SL,0.36,-2.22,2,Thursday,behavior_risk_sample|drawdown_recovery_sizing
BAD_0019,2026-01-09 16:00:00,2026-01-09 17:47:00,XAUUSD,SELL,2350.00479,2368.00479,-186.18,-1.5,1.4,2.8,8059.48,7870.5,124.12,2362.00479,2326.00479,BREAKOUT,NY,SL,0.34,-1.82,1,Friday,behavior_risk_sample|drawdown_recovery_sizing
BAD_0020,2026-01-09 16:00:00,2026-01-09 16:47:00,XAUUSD,BUY,2349.49571,2337.49571,-121.21,-1.0,1.4,2.8,7870.5,7746.49,121.21,2337.49571,2373.49571,REVERSAL,NY,SL,0.63,-1.65,2,Friday,behavior_risk_sample|drawdown_recovery_sizing
BAD_0021,2026-01-09 20:45:00,2026-01-09 21:50:00,XAUUSD,BUY,2350.18504,2338.18504,-119.3,-1.0,1.4,2.8,7746.49,7624.39,119.3,2338.18504,2374.18504,BREAKOUT,NY,SL,0.76,-1.74,3,Friday,behavior_risk_sample|drawdown_recovery_sizing
BAD_0022,2026-01-09 20:45:00,2026-01-09 21:42:00,NAS100,SELL,21499.04364,21566.54364,-125.81,-1.5,1.0,2.0,7624.39,7496.58,83.87,21544.04364,21409.04364,SMT_RECLAIM,NY,SL,0.39,-1.75,4,Friday,behavior_risk_sample|drawdown_recovery_sizing
BAD_0023,2026-01-12 20:05:00,2026-01-12 20:42:00,XAUUSD,BUY,2349.29542,2334.89542,-138.54,-1.2,1.4,2.8,7496.58,7355.24,115.45,2337.29542,2373.29542,FVG_ENTRY,NY,SL,0.31,-1.38,1,Monday,behavior_risk_sample|drawdown_recovery_sizing
BAD_0024,2026-01-12 20:09:00,2026-01-12 21:01:00,DJI,SELL,39047.58607,38991.58607,90.62,0.8,1.4,2.8,7355.24,7443.06,113.27,39117.58607,38907.58607,SMT_RECLAIM,NY,MANUAL,1.49,-0.54,2,Monday,post_loss_fast_reentry|drawdown_recovery_sizing
BAD_0025,2026-01-13 13:45:00,2026-01-13 15:08:00,GBPJPY,BUY,197.61365,198.15365,98.24,1.2,1.0,2.0,7443.06,7539.3,81.87,197.16365,198.51365,SMT_RECLAIM,Overlap,MANUAL,1.85,-0.95,1,Tuesday,behavior_risk_sample|drawdown_recovery_sizing
BAD_0026,2026-01-13 20:30:00,2026-01-13 22:26:00,XAUUSD,BUY,2350.1311,2359.7311,92.89,0.8,1.4,2.8,7539.3,7629.39,116.11,2338.1311,2374.1311,BREAKOUT,NY,MANUAL,1.65,-0.31,3,Tuesday,behavior_risk_sample|drawdown_recovery_sizing
BAD_0027,2026-01-13 20:05:00,2026-01-13 20:41:00,GBPJPY,SELL,197.53042,198.07042,-100.7,-1.2,1.0,2.0,7629.39,7526.69,83.92,197.98042,196.63042,SMT_RECLAIM,NY,SL,0.25,-1.48,2,Tuesday,behavior_risk_sample|drawdown_recovery_sizing
BAD_0028,2026-01-14 03:55:00,2026-01-14 04:42:00,DJI,SELL,39032.8807,39116.8807,-139.09,-1.2,1.4,2.8,7526.69,7384.8,115.91,39102.8807,38892.8807,FVG_ENTRY,Asia,SL,0.66,-1.83,1,Wednesday,behavior_risk_sample|drawdown_recovery_sizing
BAD_0029,2026-01-14 03:59:00,2026-01-14 04:54:00,DJI,SELL,39023.19851,38981.19851,48.74,0.6,1.0,2.0,7384.8,7431.54,81.23,39093.19851,38883.19851,FVG_ENTRY,Asia,MANUAL,1.14,-0.63,2,Wednesday,post_loss_fast_reentry|drawdown_recovery_sizing
BAD_0030,2026-01-15 03:00:00,2026-01-15 04:17:00,DJI,BUY,38970.55505,38907.55505,-103.01,-0.9,1.4,2.8,7431.54,7325.73,114.45,38900.55505,39110.55505,BREAKOUT,Asia,SL,0.76,-1.51,1,Thursday,behavior_risk_sample|drawdown_recovery_sizing
BAD_0031,2026-01-15 03:10:00,2026-01-15 03:51:00,DJI,BUY,38986.08289,38881.08289,-169.23,-1.5,1.4,2.8,7325.73,7153.7,112.82,38916.08289,39126.08289,FVG_ENTRY,Asia,SL,0.44,-2.06,2,Thursday,post_loss_fast_reentry|drawdown_recovery_sizing
BAD_0032,2026-01-15 03:14:00,2026-01-15 04:39:00,NAS100,SELL,21497.09445,21537.59445,-70.82,-0.9,1.0,2.0,7153.7,7080.88,78.69,21542.09445,21407.09445,BREAKOUT,Asia,SL,0.41,-1.45,3,Thursday,post_loss_fast_reentry|drawdown_recovery_sizing
BAD_0033,2026-01-15 03:27:00,2026-01-15 05:14:00,DJI,SELL,38956.16394,39026.16394,-109.05,-1.0,1.4,2.8,7080.88,6969.03,109.05,39026.16394,38816.16394,REVERSAL,Asia,SL,0.73,-1.16,4,Thursday,post_loss_fast_reentry|drawdown_recovery_sizing
