trade_id,open_time,close_time,symbol,side,entry_price,exit_price,pnl,pnl_R,lot_or_size,commission,balance_before,balance_after,initial_risk_amount,initial_sl,initial_tp,setup_tag,session,exit_reason,mfe_R,mae_R,trade_index_in_day,day_of_week,notes
GOOD_0001,2026-01-05 08:15:00,2026-01-05 09:10:00,NAS100,BUY,21492.19218,21600.19218,192.0,2.4,1.0,2.0,10000.0,10190.0,80.0,21447.19218,21582.19218,SMT_RECLAIM,London,TP,2.52,-0.12,1,Monday,disciplined_sample
GOOD_0002,2026-01-05 09:45:00,2026-01-05 10:47:00,NAS100,BUY,21492.26144,21537.26144,81.52,1.0,1.0,2.0,10190.0,10269.52,81.52,21447.26144,21582.26144,SMT_RECLAIM,London,MANUAL,1.32,-0.19,2,Monday,disciplined_sample
GOOD_0003,2026-01-06 10:15:00,2026-01-06 10:57:00,DJI,BUY,38957.88002,38887.88002,-82.16,-1.0,1.0,2.0,10269.52,10185.36,82.16,38887.88002,39097.88002,LIQUIDITY_SWEEP,London,SL,0.7,-1.72,1,Tuesday,disciplined_sample
GOOD_0004,2026-01-07 08:05:00,2026-01-07 08:40:00,DJI,SELL,38995.34103,39030.34103,-40.74,-0.5,1.0,2.0,10185.36,10142.62,81.48,39065.34103,38855.34103,LIQUIDITY_SWEEP,London,MANUAL,0.33,-0.85,1,Wednesday,disciplined_sample
GOOD_0005,2026-01-08 14:00:00,2026-01-08 14:42:00,DJI,SELL,38976.99478,39011.99478,-40.57,-0.5,1.0,2.0,10142.62,10100.05,81.14,39046.99478,38836.99478,SMT_RECLAIM,Overlap,MANUAL,0.75,-0.75,1,Thursday,disciplined_sample
GOOD_0006,2026-01-08 14:00:00,2026-01-08 14:31:00,NAS100,BUY,21541.31361,21608.81361,121.2,1.5,1.0,2.0,10100.05,10219.25,80.8,21496.31361,21631.31361,SMT_RECLAIM,Overlap,TP,2.05,-0.55,2,Thursday,disciplined_sample
GOOD_0007,2026-01-09 14:05:00,2026-01-09 15:00:00,NAS100,SELL,21489.94005,21422.44005,122.62,1.5,1.0,2.0,10219.25,10339.87,81.75,21534.94005,21399.94005,SMT_RECLAIM,Overlap,TP,1.78,-0.18,1,Friday,disciplined_sample
GOOD_0008,2026-01-09 08:00:00,2026-01-09 08:42:00,NAS100,BUY,21488.16193,21443.16193,-82.72,-1.0,1.0,2.0,10339.87,10255.15,82.72,21443.16193,21578.16193,SMT_RECLAIM,London,SL,0.62,-1.78,2,Friday,disciplined_sample
GOOD_0009,2026-01-12 14:45:00,2026-01-12 15:13:00,DJI,SELL,38995.37237,38890.37237,123.06,1.5,1.0,2.0,10255.15,10376.21,82.04,39065.37237,38855.37237,BREAK_RETEST,Overlap,TP,2.36,-0.55,1,Monday,disciplined_sample
GOOD_0010,2026-01-13 15:15:00,2026-01-13 16:07:00,XAUUSD,BUY,2350.907,2368.907,124.52,1.5,1.0,2.0,10376.21,10498.73,83.01,2338.907,2374.907,BREAK_RETEST,NY,TP,2.34,-0.54,1,Tuesday,disciplined_sample
GOOD_0011,2026-01-14 10:15:00,2026-01-14 11:19:00,NAS100,BUY,21498.59905,21543.59905,83.99,1.0,1.0,2.0,10498.73,10580.72,83.99,21453.59905,21588.59905,SMT_RECLAIM,London,MANUAL,1.16,-0.22,1,Wednesday,disciplined_sample
GOOD_0012,2026-01-15 13:15:00,2026-01-15 14:18:00,DJI,BUY,38981.17163,38911.17163,-84.65,-1.0,1.0,2.0,10580.72,10494.07,84.65,38911.17163,39121.17163,BREAK_RETEST,Overlap,SL,0.72,-1.41,1,Thursday,disciplined_sample
GOOD_0013,2026-01-16 09:15:00,2026-01-16 10:18:00,NAS100,BUY,21513.1103,21558.1103,83.95,1.0,1.0,2.0,10494.07,10576.02,83.95,21468.1103,21603.1103,BREAK_RETEST,London,MANUAL,1.28,-0.16,1,Friday,disciplined_sample
GOOD_0014,2026-01-19 14:05:00,2026-01-19 14:38:00,DJI,SELL,39028.46194,39098.46194,-84.61,-1.0,1.0,2.0,10576.02,10489.41,84.61,39098.46194,38888.46194,BREAK_RETEST,Overlap,SL,0.35,-1.17,1,Monday,disciplined_sample
GOOD_0015,2026-01-20 13:00:00,2026-01-20 13:24:00,DJI,SELL,38974.86563,38834.86563,167.84,2.0,1.0,2.0,10489.41,10655.25,83.92,39044.86563,38834.86563,LIQUIDITY_SWEEP,Overlap,TP,2.25,-0.35,1,Tuesday,disciplined_sample
GOOD_0016,2026-01-21 15:30:00,2026-01-21 15:53:00,XAUUSD,BUY,2350.85273,2379.65273,204.58,2.4,1.0,2.0,10655.25,10857.83,85.24,2338.85273,2374.85273,LIQUIDITY_SWEEP,NY,TP,3.18,-0.29,1,Wednesday,disciplined_sample
GOOD_0017,2026-01-22 08:30:00,2026-01-22 09:15:00,NAS100,SELL,21519.65915,21551.15915,-60.8,-0.7,1.0,2.0,10857.83,10795.03,86.86,21564.65915,21429.65915,SMT_RECLAIM,London,MANUAL,0.83,-1.26,1,Thursday,disciplined_sample
GOOD_0018,2026-01-23 09:00:00,2026-01-23 09:55:00,DJI,BUY,38997.67885,38962.67885,-43.18,-0.5,1.0,2.0,10795.03,10749.85,86.36,38927.67885,39137.67885,BREAK_RETEST,London,MANUAL,0.62,-0.64,1,Friday,disciplined_sample
